UNSPSC,Title
10151805,Coriander seeds or seedlings
10151806,Ginger seeds or seedlings
10151807,Saffron seeds or seedlings
10151808,Thyme seeds or seedlings
10151809,Curry seeds or seedlings
10151810,Mustard seeds or seedlings
10151900,Flower seeds and bulbs and seedlings and cuttings
10151901,Tulip seeds or bulbs or seedlings or cuttings
10151902,Rose seeds or seedlings or cuttings
10151903,Daffodil seeds or bulbs or seedlings or cuttings
10151904,Sunflower seeds
10152000,Tree and shrub seeds and cuttings
10152001,Fruit tree seeds or cuttings
10152002,Conifer tree seeds or cuttings
10152003,Nut tree seeds or cuttings
10152100,Residues other than animal feed
10152101,Residues babool seed extraction
10152102,Residues of rape seeds
10152103,Residue of linseed
10152104,Oil cake of neem
10160000,Floriculture and silviculture products
10161500,Trees and shrubs
10161501,Olive trees
10161502,Coffee shrubs
10161503,Cocoa trees
10161504,Apple trees
10161505,Peach trees
10161506,Orange trees
10161507,Rhodendron shrubs
10161508,Tea shrubs
10161509,Conifer trees
10161510,Spruce trees
10161511,Pine trees
10161512,Fir trees
10161600,Floral plants
10161601,Rose plants
10161602,Poinsettias plants
10161603,Orchids plants
10161604,Azaleas plants
10161605,Cactus plants
10161700,Cut flowers
10161701,Cut gladiolus
10161702,Cut lilies
10161703,Cut carnations
10161704,Cut tulips
10161705,Cut roses
10161800,Non flowering plants
10161801,Ferns
10161802,Ivies
10161803,Philodendrons
10161900,Dried floral products
10161901,Dried pods
10161902,Dried leafy greenery
10161903,Dried fern greenery
10161904,Dried full flowers
10161905,Dried twigs or sticks
10161906,Dried grass plumes
10161907,Dried pressed flowers
10161908,Dried flower petals
10170000,Fertilizers and plant nutrients and herbicides
10171500,Organic fertilizers and plant nutrients
10171501,Manure or guano
10171502,Plant hormones
10171503,Fish meal
10171600,Chemical fertilizers and plant nutrients
10171601,Nitrogenous fertilizer
10171602,Potassic fertilizer
10171603,Phosphatic fertilizer
10171604,Sulphuric fertilizer
10171605,Nitrogen Phosphorous Potassium Mixtures (NPK)
10171700,Herbicides
10171701,Weed killer
10190000,Pest control products
10191500,Insecticides and insect control traps
10191501,Spray insecticides
10191502,Bait insecticides
10191503,Silicic acid
10191504,Flying insect control traps
10191600,Rodenticides
10191601,Extruded baits
10191602,Meal or pellet or seed baits
10191603,Liquid baits
10191604,Tracking powders
10191700,Animal control traps
10191701,Mouse or rat traps
11000000,Mineral and Textile and Inedible Plant and Animal Materials
11100000,Minerals and ores and metals
11101500,Minerals
11101501,Mica
11101502,Emery
11101503,Quartz
11101504,Pyrite
11101505,Sulphur
11101506,Chalk
11101507,Graphite
11101508,Dolomite
11101509,Magnesite
11101510,Asbestos
11101511,Calcium
11101512,Borate
11101513,Cryolite
11101514,Feldspar
11101515,Leucite
11101516,Nephelite
11101517,Steatite
11101518,Talc
11101519,Diamonds
11101520,Garnets
11101521,Silicon carbide
11101522,Activated carbon
11101523,Mulite
11101600,Ores
11101601,Iron ore
11101602,Titanium ore
11101603,Uranium ore
11101604,Copper ore
11101605,Aluminum ore
11101606,Nickel ore
11101607,Silver ore
11101608,Lead ore
11101609,Zinc ore
11101610,Tin ore
11101611,Manganese ore
11101612,Chromium ore
11101613,Tungsten or wolfram ore
11101614,Molybdenum ore
11101615,Cobalt ore
11101616,Gold ore
11101617,Tantalum ore
11101618,Platinum ore
11101619,Vermiculite ore
11101620,Thorium ore
11101621,Kyanite ore
11101700,Base metals
11101701,Slag or ash
11101702,Natural graphite
11101703,Titanium
11101704,Steel
11101705,Aluminum
11101706,Nickel
11101707,Magnesium
11101708,Bismuth
11101709,Antimony
11101710,Cadmium
11101711,Non ferrous alloy
11101712,Ferrous alloy
11101713,Iron
11101714,Lead
11101715,Copper
11101800,Precious metals
11101801,Gold
11101802,Silver
11101803,Platinum
11110000,Earth and stone
11111500,Dirt and soil
11111501,Soil
11111502,Fill dirt
11111503,Topsoil
11111600,Stone
11111601,Gypsum
11111602,Travertine
11111603,Ecaussine or alabaster
11111604,Granite
11111605,Marble
11111606,Slate
11111607,Sandstone
11111608,Limestone
11111609,Basalt
11111610,Pumice stone
11111700,Sand
11111701,Silica sand
11111800,Clays
11111801,Terra cotta
11111802,Fireclay
11111803,Kaolin or other kaolinic clays
11111804,Bentonite
11111805,Andalusite
11111806,Mullite
11111807,Chamotte
11111808,Common clay
11111809,Ball clay
11111810,Fullers earth
11120000,Non edible plant and forestry products
11121500,Sap
11121502,Rosin
11121503,Lac
11121600,Wood
11121603,Logs
11121604,Soft timber
11121605,Rattan
11121606,Cork
11121607,Wood pulp
11121608,Bamboo
11121700,Forestry by products
11121701,Saw dust
11121702,Wood chips
11121703,Peat moss
11121705,Bark
11121706,Mulch
11121707,Wood wool
11121708,Wood flour
11121709,Balsams
11121800,Plant fibers
11121801,Hemp
11121802,Cotton
11121803,Flax
11121804,Jute
11121805,Sisal
11121806,Coconut fibres or coir
11121807,Abaca fibers
11121808,Ramie
11121809,Straw
11130000,Non edible animal products
11131500,Animal hides and skins and animal textile materials
11131501,Feathers
11131502,Furs
11131503,Animal hair
11131504,Hides
11131505,Unprocessed mohair
11131506,Unprocessed wool
11131507,Suede
11131600,Other animal products
11131601,Ivory
11131602,Semen
11131603,Excretions
11131604,Fish eggs
11131605,Bones
11131606,Horns
11131607,Embryos
11140000,Scrap and waste materials
11141500,Metal waste and scrap
11141501,Ferrous metal waste or scrap
11141502,Non ferrous metal waste or scrap
11141503,Automotive wrecking for waste or scrap
11141600,Non metallic waste and scrap
11141601,Textile waste or scrap
11141602,Plastic waste or scrap
11141603,Oil wastes
11141604,Paper wastes
11141605,Glass waste or scrap
11141606,Wood waste or scrap
11141607,Rubber waste or scrap
11141608,Hazardous waste or scrap
11141700,Food and tobacco waste and scrap
11141701,Food waste or scrap
11141702,Tobacco waste or scrap
11150000,Fibers and threads and yarns
11151500,Fibers
11151501,Acetate fibers
11151502,Nylon fibers
11151503,Polyester fibers
11151504,Acrylic fibers
11151505,Viscose fibers
11151506,Rayon fibers
11151507,Cotton fibers
11151508,Wool fibers
11151509,Silk fibers
11151510,Vegetable fibers
11151511,Polypropylene fibers
11151512,Glass fibers
11151513,Ceramic fibers
11151514,Polymer aramid fibers
11151600,Threads
11151601,Cotton thread
11151602,Silk thread
11151603,Polyester thread
11151604,Polyamide thread
11151605,Bismalemide thread
11151606,Fiberglass thread
11151607,Graphite thread
11151608,Nylon thread
11151609,Resin impregnated thread
11151610,Rubber or latex thread
11151611,Spandex thread
11151700,Yarns
11151701,Wool yarn
11151702,Cotton yarn
11151703,Polyester yarn
11151704,Acrylic yarn
11151705,Silk yarn
11151706,Ramie yarn
11160000,Fabrics and leather materials
11161500,Silk fabrics
11161501,Plain weave silk fabrics
11161502,Jacquard weave silk fabrics
11161503,Knit silk fabrics
11161504,Silk velvets fabrics
11161600,Wool fabrics
11161601,Plain weave wool fabrics
11161602,Jacquard weave wool fabrics
11161603,Knit wool fabrics
11161700,Cotton fabrics
11161701,Plain weave cotton fabrics
11161702,Twill weave cotton fabrics
11161703,Cotton oxford cloths
11161704,Knit cotton fabrics
11161705,Cotton velvet fabrics
11161800,Synthetic fabrics
11161801,Plain weave synthetic fabrics
11161802,Jacquard weave synthetic fabrics
11161803,Dobby weave synthetic fabrics
11161804,Knit synthetic fabrics
11161805,Synthetic velvet fabrics
11162000,Fabrics of vegetable material other than cotton
11162001,Plain weave non cotton vegetable fiber fabrics
11162002,Knit non cotton vegetable fiber fabrics
11162003,Hessian or hemp or jute cloth
11162100,Specialty fabrics or cloth
11162101,Cheese cloth or fabric
11162102,Bismalemide fabric or cloth
11162103,Fiberglass fabric or cloth
11162104,Graphite fabric or cloth
11162105,Glass fabric or cloth
11162107,Resin impregnated fabric or cloth
11162108,Wire mesh fabric or cloth
11162109,Lace
11162110,Netting
11162111,Mesh
11162112,Coated fabrics
11162113,Upholstery fabrics
11162114,Hook and loop fabrics or tapes
11162115,Elastic braid
11162116,Burlap cloth
11162117,Rubber fabrics
11162200,Nonwoven fabrics
11162201,Spunbonded nonwovens
11162202,Spunlaced nonwovens
11162300,Leathers
11162301,Chamois leather
11162302,Goat leather
11162303,Sheep leather
11162304,Patent leather
11162305,Cow leather
11162306,Pig leather
11162307,Synthetic or imitation leather
12000000,Chemicals including Bio Chemicals and Gas Materials
12130000,Explosive materials
12131500,Explosives
12131501,Dynamite
12131502,Explosive cartridges
12131503,Propellant explosives
12131504,Explosive charges
12131505,Plastic explosives
12131506,Aluminized explosives
12131507,Ammonium nitrate explosives
12131508,Nitroglycerin powder explosives
12131600,Pyrotechnics
12131601,Fireworks
12131602,Fog signals
12131603,Rain rockets
12131604,Flares
12131605,Pyrotechnic materials for theater or television
12131700,Igniters
12131701,Blasting caps
12131702,Detonators
12131703,Explosives fuses
12131704,Explosive initiators
12131705,Explosive primers
12131706,Matches
12131707,Lighters
12131800,Propellants
12131801,Powder propellants
12131802,Solid propellants
12131803,Gun propellants
12131804,High energy propellants
12131805,Gelled propellants
12131806,Hybrid propellants
12140000,Elements and gases
12141500,Earth metals
12141501,Beryllium (Be)
12141502,Magnesium (Mg)
12141503,Calcium (Ca)
12141504,Strontium (Sr)
12141505,Barium (Ba)
12141506,Radium (Ra)
12141600,Rare earth metals
12141601,Cerium (Ce)
12141602,Dysprosium (Dy)
12141603,Erbium (Er)
12141604,Europium (Eu)
12141605,Gadolinium (Gd)
12141606,Holmium (Ho)
12141607,Lanthanum (La)
12141608,Lutetium (Lu)
12141609,Neodymium (Nd)
12141610,Praseodymium (Pr)
12141611,Promethium (Pr)
12141612,Samarium (Sm)
12141613,Scandium (Sc)
12141614,Terbium (Tb)
12141615,Thulium (Tm)
12141616,Ytterbium (Yb)
12141617,Yttrium (Y)
12141700,Transition metals
12141701,Actinium (Ac)
12141702,Aluminum (Al)
12141703,Americium (Am)
12141704,Antimony (Sb)
12141705,Berkelium (Bk)
12141706,Bismuth (Bi)
12141707,Cadmium (Ca)
12141708,Californium (Cf)
12141709,Chromium (Cr)
12141710,Cobalt (Co)
12141711,Copper (Cu)
12141712,Curium (Cm)
12141713,Einsteinium (Es)
12141714,Fermium (Fm)
12141715,Gallium (Ga)
12141716,Germanium (Ge)
12141717,Gold (Au)
12141718,Hafnium (Hf)
12141719,Indium (In)
12141720,Iridium (Ir)
12141721,Iron (Fe)
12141722,Lawrencium (Lr)
12141723,Lead (Pb)
12141724,Manganese (Mn)
12141725,Mendelevium (Md)
12141726,Mercury (Hg)
12141727,Molybdenum (Mo)
12141728,Neptunium (Np)
12141729,Nickel (Ni)
12141730,Niobium (Nb)
12141731,Nobelium (No)
12141732,Osmium (Os)
12141733,Palladium (Pd)
12141734,Platinum (Pt)
12141735,Plutonium (Pu)
12141736,Protactinium (Pa)
12141737,Rhenium (Re)
12141738,Rhodium (Rh)
12141739,Ruthenium (Ru)
12141740,Silver (Ag)
12141741,Tantalum (Ta)
12141742,Technetium (Te)
12141743,Thallium (Tl)
12141744,Thorium (Th)
12141745,Tin (Sn)
12141746,Titanium (Ti)
12141747,Tungsten (W)
12141748,Uranium (U)
12141749,Vanadium (V)
12141750,Zinc (Zn)
12141751,Zirconium (Zr)
12141752,Bohrium (Bh)
12141753,Dubnium (Db)
12141754,Hassium (Hs)
12141755,Rutherfordium (Rf)
12141756,Seaborgium (Sg)
12141757,Ununnilium (Uum)
12141758,Unununium (Uuu)
12141759,Ununbium (Uub)
12141760,Polonium ((Po)
12141800,Alkali metals
12141801,Cesium (Cs)
12141802,Francium (Fm)
12141803,Lithium (Li)
12141804,Potassium (K)
12141805,Rubidium (Rb)
12141806,Sodium (Na)
12141900,Non metals and pure and elemental gases
12141901,Chlorine  (Cl)
12141902,Hydrogen (H)
12141903,Nitrogen  (N)
12141904,Oxygen (O)
12141905,Fluorine  (F)
12141906,Arsenic (As)
12141907,Boron (Bh)
12141908,Carbon (C)
12141909,Phosphorus (P)
12141910,Selenium (Se)
12141911,Silicon (Si)
12141912,Sulfur (S)
12141913,Tellurium (Te)
12141914,Astatine (At)
12141915,Bromine Br
12141916,Iodine (I)
12142000,Noble gases
12142001,Xenon gas  (Xe)
12142002,Radon gas (Rn)
12142003,Krypton gas (Kr)
12142004,Argon gas (Ar)
12142005,Helium gas (He)
12142006,Neon gas (Ne)
12142100,Natural and mixed gases
12142101,Hydrogen compound gases
12142102,Chlorinated mixed gases
12142103,Ammonia
12142104,Carbon dioxide gas (CO2)
12150000,Acids and their salts and esters
12151500,Carboxylic acids and their salts and esters
12151501,Acetic acids
12151502,Acyclic acids
12151503,Aldehydic acids
12151504,Butyric acids
12151505,Carbocylic acids
12151506,Hydroxy acids
12151507,Keto acids
12151508,Propionic acids
12151509,Acrylic acid esters
12151600,Heterocyclic acids and their salts and esters
12151601,Indoleacetic acids
12151602,Isonicotinic acids
12151603,Isonipecotic acids
12151604,Nicotinic acids
12151605,Nipecotic acids
12151606,Orotic acids
12151607,Picolinic acids
12151608,Pipecolic acids
12151700,Fatty acids and their salts and esters
12151701,Decanoic acids
12151702,Unsaturated fatty acids
12151703,Volatile fatty acids
12151704,Heptanoic acids
12151705,Lauric acids
12151706,Mycolic acids
12151707,Myristic acids
12151708,Palmitic acids
12151709,Stearic acids
12151800,Non carboxylic acids and their salts
12151801,Carbonic acids
12151802,Nitric acids
12151803,Phosphorous acids
12151804,Sulfur acids
12151805,Chlorides
12151806,Hydrochlorides
12151807,Nitrates or nitrites
12151808,Silicates
12151809,Phosphates or phosphides
12151810,Bicarbonates or carbides or carbonates
12151811,Fluorides
12151812,Bromides or bromates
12151813,Iodides or iodates
12160000,Additives
12161500,Indicators and Reagents
12161501,Affinity labels
12161502,Cross linking agents
12161503,Reagent kits
12161504,Sulfhydryl reagents
12161505,Intercalating agents
12161506,Diverting agents
12161600,Catalysts
12161601,Acid catalysts
12161602,Combustion catalysts
12161603,Custom catalysts
12161604,Cracking catalysts
12161700,Buffers
12161701,Ampholyte mixtures
12161702,Bicarbonate buffers
12161703,Other buffers
12161800,Colloids
12161801,Gels
12161802,Suspensions
12161803,Aerosols
12161804,Emulsions
12161805,Natural gelling agents
12161806,Synthetic gelling agents
12161807,Gel stabilizers
12161808,Suspending agents
12161900,Surfactants
12161901,Anti foaming agents
12161902,Detergent surfactants
12161903,Foaming agents
12161904,Dispersing agents
12161905,Flushes
12161906,Wetting agents
12161907,Water flood additives
12162000,Plasticizers
12162001,Phthalates
12162002,Polymerics
12162003,Agricultural oils
12162004,Sulfonamides
12162005,Glutarates
12162100,Flame retardants
12162101,Brominated
12162200,Anti oxidants
12162201,Ascorbic acid
12162202,Beta carotene
12162203,Butylated hydroxyanisole
12162204,Butylated hydroxytoluene
12162205,Calcium citrate
12162206,Canthaxanthin
12162207,Melatonin
12162208,Nordihydroguaiaretic acid
12162209,Propyl gallate
12162210,Silymarin
12162211,Sulfur dioxide
12162300,Curing agents
12162301,Waterborne curing agents
12162302,Cement accelerators
12162303,Cement retarders
12162400,Polymer breakers
12162401,Acidic polymer breakers
12162402,Organic polymer breakers
12162500,Emulsion breakers
12162501,Water in oil emulsion breakers
12162502,Oil in water emulsion breakers
12162503,Flotation aids
12162600,Clay stabilizers
12162601,Inorganic clay stabilizers
12162602,Organic clay stabilizers
12162700,Fluid loss additives
12162701,Natural polymer fluid loss additives
12162702,Modified polymer fluid loss additives
12162800,Friction reducers
12162801,Anionic friction reducers
12162802,Cationic friction reducers
12162900,Paraffin asphaltene control agents
12162901,Solvent type paraffin asphaltene control agents
12162902,Crystal modified paraffin asphaltene control agents
12162903,Dispersant type paraffin asphaltene control agents
12163000,Mud removal mixtures
12163001,Mud cleanout agents
12163100,Anti sludgers
12163101,Anti sludge additives
12163200,Anti gas migration agents
12163201,Anti gas migration additives
12163300,Expanding agents
12163301,Cement expanding agents
12163400,Extenders
12163401,Cement extenders
12163500,Oil well sealants
12163501,Cementing sealants
12163600,Corrosion inhibitors
12163601,Oil production corrosion inhibitors
12163602,Gas production corrosion inhibitors
12163700,Gas hydrate controllers
12163701,Kinetic hydrate controllers
12163800,Scavengers
12163801,Hydrogen sulfide scavengers
12163802,Oxygen scavengers
12163900,Scale controllers
12163901,Scale inhibitor
12163902,Scale removers and converters
12164000,Bactericides
12164001,Registered microbiocides
12164100,N situ
12164101,N situ additives
12164102,Acid additives
12164200,Retarders
12164201,Acid corrosion inhibitors
12164300,Iron controllers
12164301,Iron control additives
12164400,Non emulsifiers
12164401,Non emulsifying additives
12170000,Colorants
12171500,Dyes
12171501,Fluorescent dyes
12171502,Phthalein dyes
12171503,Rosaniline dyes
12171504,Food or drug or cosmetic safe (FDC) dyes
12171505,Laked
12171506,Natural dyes
12171600,Pigments
12171601,Natural pigments
12171602,Inorganic metal oxides
12171603,Carbon black
12171604,Titanium dioxide
12171605,Organic pigments
12171700,Color compounds and dispersions
12171701,Polymer masterbatches
12171702,Pigment dispersions
12171703,Inks
12180000,Waxes and oils
12181500,Waxes
12181501,Synthetic waxes
12181502,Natural waxes
12181503,Paraffins
12181504,Petrolatums
12181600,Oils
12181601,Synthetic oils
12181602,Natural oils
12190000,Solvents
12191500,Hydrocarbonated solvents
12191501,Aromatic solvents
12191502,Aliphatic solvents
12191600,Oxygenated solvents
12191601,Alcohol solvents
12191602,Active solvents
12200000,Chemical intermediates and fixatives
12201500,Intermediates
12201501,Ether intermediates
12201502,Ketone intermediates
12201503,Aldehyde intermediates
12201504,Peroxide intermediates
12201505,Acrylate or methacrylate intermediates
12201600,Fixatives
12201601,Formaldehydes
12201602,Glutrals
12201603,Tannins
12201700,Amines and amides and imines and imides
12201701,Primary
12201702,Secondary
12201703,Tertiary
12201704,Specialty
12201705,Sulphonated
12210000,Carbon based chemicals and compounded chemicals
12211700,Aldehydes
12211701,Acetalaldehyes
12211702,Glyoxals
12211800,Ethers
12211801,Acetal ethers
12211802,Ethyl ethers
12211803,Methyl ethers
12211804,Phenyl ethers
12211900,Ketones
12211901,Acetones
12211902,Camphors
12211903,Ketone bodies
12211904,Mannich bases
12212000,Phenols
12212001,Bromphenol blue
12212002,Cresols
12212100,Carbohydrates
12212101,Simple sugars
12212102,Gum resins
12212103,Starches
12212200,Compounds
12212201,Chemical alloys
12212202,Cyanides or cyanates
12212203,Aluminum compounds
12212204,Barium compounds
12212205,Boron compounds
12212206,Bromine compounds
12212207,Calcium compounds
12212208,Carbon compounds
12212209,Chlorine compounds
12212210,Fluorine compounds
12212211,Gold compounds
12212212,Iodine compounds
12212213,Iron compounds
12212214,Magnesium compounds
12212217,Oxygen compounds
12212218,Phosphorous compounds
12212219,Potassium compounds
12212220,Selenium compounds
12212221,Silicon or silicone or silicane compounds
12212222,Sodium compounds
12212223,Sulfur compounds
12212224,Tin compounds
12212225,Zinc compounds
12212226,Heterocyclic compounds
12212227,Cobalt compounds
12212228,Antimony compounds
12212229,Titanium compounds
12212300,Oxides includes all oxided substances
12212301,Aluminum oxides
12212302,Carbon oxides
12212303,Hypochlorous acid
12212304,Magnesium oxides
12212305,Nitrogen oxides
12212306,Osmium oxides
12212307,Peroxides
12212308,Silicon oxides
12212309,Sulfur oxides
12212310,Thorium oxides
12212311,Water oxides
12212312,Zinc oxides
12212313,Hydroxides
12212314,Metal oxides
12212315,Non metal oxides
12212316,Ethylene oxide
12212400,Isotopes
12212401,Deuterated solvents
12212402,Heavy water
12212403,Alpha sources
12212404,Beta sources
12212405,Cobalt sources
12212406,Gamma sources
12212407,Radioisotope sources
12212408,Calibration sources
12220000,Bio chemicals
12221500,Proteins
12221501,Albumins
12221502,Bacterial proteins
12221503,Blood proteins
12221504,Bone morphogenetic proteins
12221505,Carrier proteins
12221506,Contractile proteins
12221507,Dietary proteins
12221508,Deoxyribonucleic acid (DNA) binding proteins
12221509,Egg proteins
12221510,Globulins
12221511,Glycoproteins
12221512,Hemeproteins
12221513,Interferons
12221514,Lectins
12221515,Lipoproteins
12221516,Membrane proteins
12221517,Metalloproteins
12221518,Nerve tissue proteins
12221519,Neculeoproteins
12221520,Peptones
12221521,Plant proteins
12221522,Prions
12221523,Cytoplasmic or nuclear receptors
12221524,Recombinant proteins
12221525,Serpins
12221526,Transcription factors
12221527,Viral proteins
12221600,Antibodies
12221601,Viral antibodies
12221602,Antitoxins
12221603,Bacterial antibodies
12221604,Autoantibodies
12221605,Immune sera
12221606,Immunoglobulins
12221700,Nutrients
12221701,Vitamins
12221800,Enzymes
12221801,Hydrolases
12221802,Isoenzymes
12221803,Isomerases
12221804,Ligases
12221805,Lyases
12221806,Multienzyme complexes
12221807,Oxidoreductases
12221808,Permeases
12221809,Transfereases
12221900,Tissues
12221901,Connective tissues
12221902,Epitheliums
12221903,Exocrine glands
12221904,Lymphoid tissues
12221905,Membranes
12221906,Muscles
12221907,Nerve tissues
12222000,Cultures and fluids
12222001,Agar
12222002,Broth
12222003,Serum free culture media
12222004,Conditioned culture media
12222005,Bacteria cultures
12222006,Blood
12222007,Urea
12222008,Bile
12222009,Plasma
12222010,Semen cultures
12222100,Nucleic acids
12222101,Ribonucleic acid (RNA)
12222102,Deoxyribonucleic acid (DNA)
12222200,Amino acids
12222201,Branched chain amino acids
12222202,Cyclic amino acids
12222203,Diamino amino acids
12222204,Dicarboxylic amino acids
12222205,Essential amino acids
12222206,Sulfur amino acids
12222207,Aminobutyric acids
12222208,Aminocaproic acids
12222209,Oxamic acids
12222210,Phosphoamino acids
12222211,Quisqualic acids
12230000,Inorganic compounds
12231000,Mineral acids
12231001,Hydrofloric acid
12231002,Hydrofluorosilicic acid
12231003,Hydroflouric acid
12231100,Bases
12231101,Sodium hydroxide
12231102,Potasium hydroxide
12231200,Salts
12231201,Ammonium nitrate
12240000,Alcohols
12241000,Monohydric alcohols
12241001,Ethanol
12241002,Isopropanol
12241003,Methanol
12241100,Polyhydric alcohols
12241101,Glycol
12241102,Glycerol
12241200,Thio alcohols
12241201,Ethane thiol
12241202,Methane thiol
12250000,Alkanes Alkenes Alkynes and Aromatics
12251000,Alkanes
12251001,Pentane
12251002,Hexane
12251100,Cyclic hydrocarbons
12251101,Toluene
13000000,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials
13100000,Rubber and elastomers
13101500,Natural rubber
13101501,Latex rubber
13101502,Crepe rubber
13101503,Smoked sheet rubber
13101504,Natural foam rubber
13101505,Block or crumb rubber
13101600,Processed and synthetic rubber
13101601,Vulcanized rubber
13101602,Chlorinated rubber
13101603,Hydrochloride rubber
13101604,Cyclized rubber
13101605,Isomerized rubber
13101606,Thermplastic rubber
13101607,Rubber compound
13101700,Elastomers
13101701,Acrylonitrile butadiene (NBR)
13101702,Highly saturated nitrile (HNBR)
13101703,Fluorocarbon (FKM)
13101704,Ethylene propylene (EP)
13101705,Styrene butadiene (SBR)
13101706,Chloroprene (CR)
13101707,Isobutylene isoprene (IIR/XIIR)
13101708,Silicone (VMQ and PMQ and PVMQ)
13101709,Fluorosilicone (FVMQ)
13101710,Polyacrylate (ACM)
13101711,Ethylene acrylic (AEM)
13101712,Chlorosulfonated polyethylene (CSM)
13101713,Chloropolyethylene (CM)
13101714,Epichlorohydrin (ECO)
13101715,Natural polyisoprene (NR)
13101716,Synthetic polyisoprene (IR)
13101717,Polyester urethane (AU)
13101718,Polyether urethane (EU)
13101719,Polybutadiene (BR)
13101720,Polyether block amide (PEBA)
13101721,Styrene block coploymer (TES)
13101722,Copolyester
13101723,Thermoplastic
13101724,Polyolenfinic
13101900,Thermoset plastics
13101902,Phenolic (PF)
13101903,Unsaturate polyester (UP)
13101904,Urea (UF)
13101905,Melamine (MF)
13101906,Thermoset polyurethane (PUR)
13102000,Thermoplastic plastics
13102001,Acrylonitrile butadiene styrene (ABS)
13102002,Acrylonitrile butadiene styrene (ABS) alloys
13102003,Acetal polymer
13102004,Acrylic
13102005,Acrylonitrile styrene acrylic (ASA)
13102006,Acrylonitrile styrene acrylic (ASA) alloys
13102007,Cellulosics
13102008,Fluoropolymers (PTFE)
13102009,Ethylene vinyl acetate (EVA)
13102010,Liquid crystal polymer (LCP)
